Date,Open,High,Low,Close,Adj Close,Volume
2020-12-31,76.699997,78.000000,74.099998,75.199997,75.199997,6382554
2021-01-01,75.199997,77.099998,75.199997,76.449997,76.449997,3057472
2021-01-04,78.199997,79.000000,77.349998,77.849998,77.849998,6084438
2021-01-05,77.000000,78.699997,75.500000,78.050003,78.050003,6756701
2021-01-06,78.300003,79.949997,77.199997,79.050003,79.050003,9892840
2021-01-07,79.750000,82.300003,79.400002,80.300003,80.300003,11038590
2021-01-08,80.849998,83.199997,80.699997,81.849998,81.849998,9118887
2021-01-11,82.400002,91.199997,82.000000,89.900002,89.900002,30857878
2021-01-12,91.000000,101.800003,91.000000,94.650002,94.650002,52284005
2021-01-13,97.000000,99.900002,94.099998,96.900002,96.900002,17073544
2021-01-14,96.400002,99.199997,94.199997,97.599998,97.599998,11195803
2021-01-15,97.449997,104.400002,96.800003,101.500000,101.500000,30536883
2021-01-18,102.250000,103.449997,95.199997,97.000000,97.000000,16993969
2021-01-19,98.500000,102.349998,98.500000,100.199997,100.199997,14894524
2021-01-20,100.800003,107.199997,100.550003,105.800003,105.800003,30819241
2021-01-21,107.400002,114.300003,107.400002,110.199997,110.199997,34615813
2021-01-22,112.000000,117.500000,107.800003,113.550003,113.550003,33984180
2021-01-25,116.000000,117.000000,108.099998,110.199997,110.199997,8893582
2021-01-27,108.099998,108.550003,104.150002,106.550003,106.550003,7915685
2021-01-28,102.000000,108.500000,101.349998,105.750000,105.750000,5727881
2021-01-29,107.699997,110.949997,102.849998,104.449997,104.449997,5640944
2021-02-01,107.000000,113.500000,102.300003,111.900002,111.900002,8951592
2021-02-02,116.800003,133.500000,116.750000,130.500000,130.500000,25640030
2021-02-03,136.000000,138.399994,128.850006,132.449997,132.449997,24119222
2021-02-04,132.000000,135.149994,129.449997,131.100006,131.100006,9868530
2021-02-05,132.399994,133.750000,125.099998,126.500000,126.500000,8443571
2021-02-08,127.400002,137.449997,126.500000,135.899994,135.899994,11739694
2021-02-09,135.250000,138.149994,131.050003,133.649994,133.649994,12590651
2021-02-10,134.300003,135.899994,130.100006,134.199997,134.199997,7498242
2021-02-11,133.199997,134.600006,132.100006,133.149994,133.149994,4481086
2021-02-12,132.800003,134.949997,131.000000,131.699997,131.699997,4264376
2021-02-15,134.000000,134.699997,129.350006,133.500000,133.500000,6598656
2021-02-16,134.500000,136.399994,132.350006,133.050003,133.050003,4024425
2021-02-17,132.850006,133.199997,131.050003,131.850006,131.850006,3613779
2021-02-18,132.500000,132.800003,129.050003,129.600006,129.600006,2372359
2021-02-19,128.250000,129.100006,119.449997,123.400002,123.400002,5993921
2021-02-22,123.400002,124.500000,117.250000,118.150002,118.150002,3529744
2021-02-23,119.400002,125.949997,119.199997,124.199997,124.199997,7784458
2021-02-24,125.000000,127.800003,123.099998,124.900002,124.900002,2665056
2021-02-25,126.099998,130.100006,125.650002,129.350006,129.350006,5178326
2021-02-26,124.150002,132.550003,124.150002,128.699997,128.699997,5275240
2021-03-01,130.050003,132.699997,129.250000,132.000000,132.000000,4903844
2021-03-02,132.850006,140.600006,131.250000,139.899994,139.899994,10767114
2021-03-03,141.000000,145.000000,140.600006,142.199997,142.199997,5944811
2021-03-04,139.000000,142.800003,137.100006,139.899994,139.899994,3493611
2021-03-05,137.750000,140.500000,133.000000,135.399994,135.399994,4134580
2021-03-08,137.050003,139.899994,134.800003,136.800003,136.800003,4529123
2021-03-09,138.399994,143.000000,133.699997,136.350006,136.350006,4631990
2021-03-10,137.449997,140.000000,136.000000,138.300003,138.300003,2750998
2021-03-12,139.649994,140.399994,134.550003,136.300003,136.300003,2226130
2021-03-15,137.000000,137.300003,131.199997,135.750000,135.750000,2667126
2021-03-16,137.000000,137.250000,134.000000,135.199997,135.199997,1747506
2021-03-17,134.050003,135.000000,129.449997,130.199997,130.199997,3496849
2021-03-18,132.149994,134.350006,125.199997,128.449997,128.449997,4107457
2021-03-19,123.500000,135.000000,119.150002,134.199997,134.199997,9446021
2021-03-22,132.500000,133.399994,129.100006,131.550003,131.550003,2205938
2021-03-23,132.350006,137.399994,132.050003,134.149994,134.149994,3669428
2021-03-24,132.899994,134.000000,126.199997,127.199997,127.199997,2836606
2021-03-25,127.000000,127.949997,124.000000,125.599998,125.599998,4340078
2021-03-26,128.899994,131.500000,126.449997,128.649994,128.649994,4504488
2021-03-30,130.000000,131.149994,127.099998,129.050003,129.050003,2004933
2021-03-31,129.449997,133.050003,127.550003,128.050003,128.050003,2902899
2021-04-01,130.149994,132.899994,129.199997,131.449997,131.449997,2137789
2021-04-05,131.000000,133.399994,126.750000,131.149994,131.149994,2458671
2021-04-06,132.300003,134.949997,131.000000,132.800003,132.800003,2478179
2021-04-07,132.899994,134.000000,131.699997,133.600006,133.600006,1284853
2021-04-08,133.949997,137.850006,133.949997,136.699997,136.699997,3552872
2021-04-09,136.800003,141.199997,136.250000,137.550003,137.550003,3046942
2021-04-12,133.649994,134.500000,124.000000,127.150002,127.150002,5174261
2021-04-13,127.750000,134.899994,126.050003,134.250000,134.250000,3794637
2021-04-15,133.850006,137.449997,132.000000,133.699997,133.699997,2572250
2021-04-16,134.399994,140.250000,133.600006,138.250000,138.250000,4712747
2021-04-19,132.399994,134.850006,130.800003,134.250000,134.250000,2602185
2021-04-20,135.050003,136.800003,130.500000,132.399994,132.399994,2019582
2021-04-22,130.800003,133.699997,129.000000,129.949997,129.949997,2792612
2021-04-23,129.399994,131.399994,127.449997,127.800003,127.800003,2179261
2021-04-26,129.600006,130.100006,127.599998,128.250000,128.250000,1269147
2021-04-27,128.100006,130.600006,128.050003,130.149994,130.149994,1803743
2021-04-28,131.050003,133.699997,130.750000,131.949997,131.949997,1356541
